DemandLevel,SellingSpeed,RestockFrequency,SupplierReliability,InStock
Low,Fast,Rare,Reliable,no
Low,Slow,Frequent,Reliable,no
High,Fast,Frequent,Reliable,no
Low,Slow,Rare,Reliable,no
High,Fast,Rare,Reliable,no
High,Fast,Frequent,Unreliable,no
Low,Fast,Rare,Unreliable,no
High,Slow,Frequent,Unreliable,yes
High,Slow,Rare,Unreliable,yes
Low,Slow,Rare,Unreliable,no
Low,Fast,Frequent,Unreliable,yes
High,Fast,Rare,Reliable,yes
High,Fast,Rare,Unreliable,no
High,Fast,Rare,Unreliable,yes
High,Slow,Rare,Unreliable,yes
Low,Fast,Rare,Reliable,no
High,Fast,Rare,Unreliable,yes
Low,Slow,Rare,Unreliable,yes
High,Slow,Frequent,Unreliable,yes
High,Slow,Rare,Reliable,yes
High,Fast,Rare,Unreliable,no
Low,Slow,Frequent,Reliable,no
Low,Slow,Frequent,Reliable,no
Low,Fast,Frequent,Reliable,no
High,Fast,Rare,Unreliable,no
High,Fast,Rare,Unreliable,no
High,Fast,Frequent,Unreliable,no
High,Fast,Frequent,Reliable,yes
Low,Fast,Rare,Unreliable,no
Low,Slow,Frequent,Reliable,yes
High,Slow,Frequent,Reliable,no
High,Fast,Rare,Unreliable,yes
Low,Slow,Rare,Reliable,no
Low,Fast,Rare,Reliable,no
Low,Fast,Rare,Unreliable,no
Low,Fast,Rare,Unreliable,no
High,Slow,Rare,Unreliable,yes
Low,Slow,Rare,Unreliable,no
Low,Fast,Frequent,Reliable,no
Low,Slow,Rare,Unreliable,yes
Low,Fast,Rare,Reliable,no
High,Slow,Rare,Unreliable,yes
Low,Fast,Frequent,Reliable,yes
High,Fast,Rare,Unreliable,no
High,Slow,Frequent,Unreliable,yes
High,Slow,Rare,Reliable,no
Low,Fast,Frequent,Reliable,yes
High,Slow,Rare,Reliable,yes
High,Slow,Rare,Reliable,no
Low,Fast,Rare,Reliable,yes
Low,Slow,Rare,Reliable,yes
High,Slow,Frequent,Unreliable,yes
Low,Slow,Frequent,Reliable,no
High,Slow,Frequent,Unreliable,no
High,Fast,Frequent,Unreliable,no
High,Slow,Frequent,Reliable,no
High,Slow,Frequent,Unreliable,no
Low,Slow,Rare,Reliable,no
High,Slow,Rare,Unreliable,yes
High,Slow,Frequent,Unreliable,no
High,Fast,Rare,Reliable,no
High,Fast,Rare,Reliable,no
High,Slow,Rare,Unreliable,no
Low,Slow,Rare,Unreliable,yes
Low,Slow,Rare,Unreliable,no
Low,Fast,Frequent,Unreliable,no
Low,Slow,Frequent,Unreliable,no
Low,Slow,Rare,Reliable,no
High,Fast,Frequent,Unreliable,yes
Low,Slow,Frequent,Reliable,yes
High,Slow,Frequent,Unreliable,yes
Low,Slow,Rare,Reliable,no
High,Slow,Frequent,Reliable,yes
High,Slow,Frequent,Unreliable,no
High,Slow,Frequent,Reliable,yes
High,Slow,Rare,Reliable,yes
Low,Slow,Frequent,Unreliable,no
Low,Fast,Rare,Unreliable,yes
High,Fast,Frequent,Reliable,yes
Low,Slow,Rare,Unreliable,yes
High,Slow,Rare,Unreliable,yes
High,Fast,Frequent,Unreliable,no
High,Fast,Frequent,Reliable,yes
Low,Slow,Rare,Unreliable,yes
Low,Fast,Rare,Unreliable,yes
Low,Slow,Frequent,Unreliable,yes
High,Slow,Frequent,Reliable,no
High,Slow,Rare,Unreliable,yes
Low,Slow,Frequent,Unreliable,yes
Low,Slow,Rare,Unreliable,yes
High,Slow,Rare,Reliable,yes
High,Fast,Rare,Unreliable,no
Low,Fast,Rare,Unreliable,yes
Low,Slow,Frequent,Unreliable,yes
High,Slow,Frequent,Reliable,no
High,Fast,Frequent,Unreliable,yes
Low,Fast,Frequent,Reliable,yes
High,Slow,Rare,Reliable,yes
High,Fast,Frequent,Reliable,yes
Low,Fast,Rare,Reliable,no
Low,Slow,Rare,Reliable,no
High,Slow,Frequent,Unreliable,no
High,Slow,Frequent,Reliable,no
High,Slow,Rare,Unreliable,yes
Low,Slow,Frequent,Reliable,yes
High,Fast,Frequent,Reliable,no
Low,Fast,Frequent,Unreliable,yes
Low,Slow,Rare,Reliable,yes
High,Slow,Frequent,Unreliable,yes
Low,Slow,Frequent,Unreliable,no
Low,Fast,Frequent,Unreliable,yes
High,Slow,Frequent,Unreliable,no
High,Fast,Frequent,Unreliable,no
High,Fast,Frequent,Unreliable,no
Low,Fast,Rare,Unreliable,yes
High,Fast,Rare,Unreliable,no
Low,Fast,Rare,Reliable,no
Low,Slow,Frequent,Reliable,yes
Low,Fast,Frequent,Unreliable,no
High,Fast,Rare,Unreliable,yes
High,Fast,Frequent,Reliable,no
High,Fast,Frequent,Unreliable,yes
High,Slow,Frequent,Reliable,yes
High,Slow,Frequent,Unreliable,no
High,Slow,Frequent,Reliable,yes
Low,Slow,Frequent,Reliable,no
Low,Fast,Frequent,Reliable,yes
High,Fast,Frequent,Reliable,yes
High,Fast,Frequent,Unreliable,yes
High,Slow,Frequent,Reliable,yes
Low,Slow,Frequent,Reliable,no
Low,Slow,Rare,Unreliable,yes
Low,Fast,Rare,Reliable,no
High,Fast,Rare,Unreliable,yes
Low,Slow,Frequent,Unreliable,no
High,Slow,Rare,Unreliable,yes
High,Slow,Rare,Unreliable,no
Low,Slow,Rare,Unreliable,no
High,Slow,Frequent,Unreliable,no
Low,Fast,Rare,Unreliable,yes
High,Fast,Rare,Reliable,no
Low,Slow,Frequent,Reliable,no
Low,Slow,Rare,Reliable,no
Low,Fast,Rare,Reliable,no
High,Fast,Frequent,Unreliable,yes
High,Fast,Rare,Reliable,no
High,Fast,Rare,Reliable,yes
High,Slow,Rare,Unreliable,yes
Low,Fast,Frequent,Unreliable,no
Low,Fast,Rare,Unreliable,no
Low,Fast,Frequent,Reliable,yes
High,Fast,Rare,Unreliable,yes
High,Fast,Frequent,Unreliable,no
High,Fast,Rare,Unreliable,yes
Low,Slow,Frequent,Reliable,yes
Low,Slow,Rare,Unreliable,yes
High,Fast,Frequent,Reliable,no
High,Fast,Frequent,Reliable,yes
High,Slow,Rare,Reliable,no
High,Slow,Rare,Unreliable,no
High,Slow,Frequent,Reliable,no
High,Slow,Frequent,Unreliable,no
Low,Fast,Rare,Reliable,no
High,Slow,Rare,Reliable,no
Low,Slow,Rare,Unreliable,no
High,Fast,Rare,Reliable,yes
High,Slow,Frequent,Reliable,no
